Content,Ready,Level,Type,AP,ID (Hex),Region/Connections,Prerequisites,Gear Req,Dep. Lvl.,Dependents
Explore: Pigman Barbeque,TRUE,1,Cave,Location,00 12 00 01,Emerald Trail,,,,
Explore: Ancestor Grotto,TRUE,2,Cave,Location,00 12 00 02,"Coastal Trail, Ragni Countryside North",,,,
Explore: Tidepool Terrace,TRUE,4,Cave,Location,00 12 00 03,Maltic Coast,,,,
Explore: Spider Mother Grove,TRUE,4,Cave,Location,00 12 00 04,"Nivla Woods, Road to Time Valley",,,,
Explore: Fungas Log,TRUE,5,Cave,Location,00 12 00 05,Arachnid Woods,,,,
Explore: Derelict Mine,TRUE,6,Cave,Location,00 12 00 06,"Ragni Countryside South, Ragni Countryside North",,,,
Explore: Crypt Excavation,TRUE,6,Cave,Location,00 12 00 07,Road to Elkurn,,,,
Explore: Crab Fighters,TRUE,6,Cave,Location,00 12 00 08,Katoa Ranch,,,,
Explore: Roots of Infestation,TRUE,7,Cave,Location,00 12 00 09,Nivla Woods,,,,
Explore: Fire & Water,TRUE,7,Cave,Location,00 12 00 0a,Farmers Settlement,,,,
Explore: Old Growth Rot,TRUE,7,Cave,Location,00 12 00 0b,Nivla Woods,,,,
Explore: Hex Keep Gateway,TRUE,7,Cave,Location,00 12 00 0c,"Corrupted Orchard, Scorched Trail",,,,
Explore: Corrupted Passageway,TRUE,9,Cave,Location,00 12 00 0d,Emerald Trail,,,,
Explore: Detlas Salt Mine,TRUE,10,Cave,Location,00 12 00 0e,Corrupted Tower,,,,
Explore: Raging Tower,TRUE,10,Cave,Location,00 12 00 0f,Corrupted Tower,,,,
Explore: Winery Infestation,TRUE,11,Cave,Location,00 12 00 10,Corrupted Warfront,,,,
Explore: Hill Hovel,TRUE,11,Cave,Location,00 12 00 11,Corrupted Orchard,,,,
Explore: Spore Spiral,TRUE,12,Cave,Location,00 12 00 12,Black Road,,,,
Explore: Willow Crypt,TRUE,16,Cave,Location,00 12 00 13,Savannah Plains,,,,
Explore: Mossy Grotto,TRUE,16,Cave,Location,00 12 00 14,"Road to Time Valley, *Abandoned Farm",,,,
Explore: Cave Springs,TRUE,17,Cave,Location,00 12 00 15,Scorched Trail,,,,
Explore: Sunken Ship,TRUE,18,Cave,Location,00 12 00 16,Nemract,,,,
Explore: Pirate Hold,TRUE,18,Cave,Location,00 12 00 17,Cathedral Harbour,,,,
Explore: Captain's Quarters,TRUE,19,Cave,Location,00 12 00 18,"Cathedral Harbour, Savannah Plains",,,,
Explore: Lovers' Cavern,TRUE,20,Cave,Location,00 12 00 19,Cathedral Harbour,,,,
Explore: Muddy Cavern,TRUE,20,Cave,Location,00 12 00 1a,Mount Wynn Inn,,,,
Explore: Lower Abandoned Mines,TRUE,22,Cave,Location,00 12 00 1b,"Mining Base Camp, Abandoned Mines",,,,
Explore: Corrupt Time Warp,TRUE,22,Cave,Location,00 12 00 1c,"Tempo Town, Road to Time Valley",,,,
Explore: The Sacrificial Altar,TRUE,22,Cave,Location,00 12 00 1d,Sanctuary Bridge,,,,
Explore: Vortex Complex,TRUE,22,Cave,Location,00 12 00 1e,"Tempo Town, Elkurn",,,,
Explore: Boar Burrow,TRUE,23,Cave,Location,00 12 00 1f,Rocky Shore,,,,
Explore: Lake Pit,TRUE,24,Cave,Location,00 12 00 20,"Plains Lake, Mine Base Plains",,,,
Explore: Termite Mounds,TRUE,24,Cave,Location,00 12 00 21,"Lava Springs, Ternaves Tunnel",,,,
Explore: Dead Man's Dugout,TRUE,25,Cave,Location,00 12 00 c6,Half Moon Island,,,,
Explore: Time Valley Aquifer,TRUE,26,Cave,Location,00 12 00 22,"Tempo Town, Time Valley",,,,
Explore: The Alcazar,TRUE,27,Cave,Location,00 12 00 23,"Time Valley, Abandoned Lumberyard",,,,
Explore: Lush Grotto,TRUE,28,Cave,Location,00 12 00 24,Mage Island,,,,
Explore: Corruption Mines,TRUE,28,Cave,Location,00 12 00 25,"Corrupted River, Roots of Corruption",,,,
Explore: Treasure Tomb,TRUE,30,Cave,Location,00 12 00 26,Cascading Oasis,,,,
Explore: Crystal Caverns,TRUE,30,Cave,Location,00 12 00 27,"Cascading Oasis, Gloopy Cave, Almuj",,,,
Explore: Troll Tower,TRUE,30,Cave,Location,00 12 00 28,Mage Island,,,,
Explore: Dust Bowl,TRUE,30,Cave,Location,00 12 00 29,Almuj Slums,,,,
Explore: Blazing Oasis,TRUE,30,Cave,Location,00 12 00 2a,Abandoned Pass,,,,
Explore: Lion's Lair,TRUE,30,Cave,Location,00 12 00 2b,Lion Lair,,,,
Explore: Fallen Passage,TRUE,32,Cave,Location,00 12 00 2c,"Barren Sands, Invaded Barracks",,,,
Explore: Wave Cult Temple,TRUE,32,Cave,Location,00 12 00 2d,Selchar,,,,
Explore: Quicksand Carvers' Den,TRUE,34,Cave,Location,00 12 00 2e,Almuj,,,,
Explore: Emerald Knives Hideout,TRUE,35,Cave,Location,00 12 00 2f,Eagle Tribe,,,,
Explore: Shadow Spears Refuge,TRUE,35,Cave,Location,00 12 00 30,Sunrise Plateau,,,,
Explore: Sundial Sanctum,TRUE,35,Cave,Location,00 12 00 31,"Ancient Excavation, Almuj Slums",,,,
Explore: Gator Range,TRUE,37,Cave,Location,00 12 00 32,"Sunrise Plateau, Sunset Plateau",,,,
Explore: Half Moon Island,TRUE,37,Cave,Location,00 12 00 33,Half Moon Island,,,,
Explore: Gold Rush,TRUE,38,Cave,Location,00 12 00 34,Sunrise Plateau,,,,
Explore: Crystalline Polynya,TRUE,39,Cave,Location,00 12 00 35,Mage Island,,,,
Explore: Ice Doors,TRUE,41,Cave,Location,00 12 00 36,"Frosty Spikes, Abandoned Lumberyard",,,,
Explore: Wolf Den,TRUE,43,Cave,Location,00 12 00 37,Wolves' Den,,,,
Explore: Raiders' Hideout,TRUE,44,Cave,Location,00 12 00 38,Lusuco,,,,
Explore: Holehold Orc Camp,TRUE,45,Cave,Location,00 12 00 39,Loamsprout Orc Camp,,,,
Explore: Submerged Coal Mine,TRUE,45,Cave,Location,00 12 00 3a,Lusuco,,,,
Explore: Raging Survivor,TRUE,45,Cave,Location,00 12 00 3b,"Icy Descent, Icy Vigil",,,,
Explore: Headless Hollow,TRUE,45,Cave,Location,00 12 00 3c,Twain Lake,,,,
Explore: Shineridge Orc Camp,TRUE,45,Cave,Location,00 12 00 3d,"Shineridge Orc Camp, Bucie Waterfall",,,,
Explore: Breaking Ice,TRUE,46,Cave,Location,00 12 00 3e,Icy Vigil,,,,
Explore: Sol Hive,TRUE,46,Cave,Location,00 12 00 3f,Brigand Outpost,,,,
Explore: Secret Mine,TRUE,46,Cave,Location,00 12 00 40,Goblin Plains East,,,,
Explore: Swamp Hill,TRUE,50,Cave,Location,00 12 00 41,"Maiden Tower, Witching Road",,,,
Explore: Toads in a Hole,TRUE,50,Cave,Location,00 12 00 42,"Lizardman Camp, Bloody Trail",,,,
Explore: Maddening Mud,TRUE,53,Cave,Location,00 12 00 43,"Lizardman Lake, Olux",,,,
Explore: Thunder Grub Nest,TRUE,53,Cave,Location,00 12 00 44,"Apprentice Huts, Monte's Village",,,,
Explore: Carnadile Den,TRUE,53,Cave,Location,00 12 00 45,Iboju Village,,,,
Explore: Jungle Horrors,TRUE,54,Cave,Location,00 12 00 46,Monte's Village,,,,
Explore: Rotten Altar,TRUE,54,Cave,Location,00 12 00 47,Monte's Village,,,,
Explore: Skien's Prison Block,TRUE,55,Cave,Location,00 12 00 48,Skien's Island,,,,
Explore: Lily Pad Parkour,TRUE,55,Cave,Location,00 12 00 49,"Swamp Mountain Arch, Sunspark Orc Camp, Mudspring Orc Camp, Floral Peaks",,,,
Explore: Sink Hole,TRUE,55,Cave,Location,00 12 00 4a,Bloody Trail,,,,
Explore: Sewer Herps,TRUE,57,Cave,Location,00 12 00 4b,"Maiden Tower, Floral Peaks",,,,
Explore: Fire Swamp,TRUE,57,Cave,Location,00 12 00 4c,"Ogre Den, Floral Peaks, Mudspring Orc Camp, Collapsed Emerald Mine",,,,
Explore: Volcanus Pit,TRUE,58,Cave,Location,00 12 00 4d,Volcanic Isles,,,,
Explore: Naga Dugout,TRUE,58,Cave,Location,00 12 00 4e,Floral Peaks,,,,
Explore: Trunk Garrison,TRUE,60,Cave,Location,00 12 00 4f,"Troms Lake, *Time Valley",,,,
Explore: Subterranean Mine,TRUE,60,Cave,Location,00 12 00 50,Fountain of Youth,,,,
Explore: Jade Well,TRUE,60,Cave,Location,00 12 00 51,Iboju Village,,,,
Explore: Bird Sanctuary,TRUE,60,Cave,Location,00 12 00 52,Fountain of Youth,,,,
Explore: Cultists Passage,TRUE,63,Cave,Location,00 12 00 53,Fleris Trail,,,,
Explore: Jungle Fetish Camp,TRUE,64,Cave,Location,00 12 00 54,Iboju Village,,,,
Explore: Fortress Catacombs,TRUE,64,Cave,Location,00 12 00 55,Mangled Lake,,,,
Explore: Dullahan Gardens,TRUE,65,Cave,Location,00 12 00 56,Castle Dullahan,,,,
Explore: Gargoyle Fortress,TRUE,65,Cave,Location,00 12 00 57,Entrance to Gavel,,,,
Explore: Elemental Hollow,TRUE,66,Cave,Location,00 12 00 58,"Twisted Housing, Gelibord",,,,
Explore: Jungle Labyrinth,TRUE,66,Cave,Location,00 12 00 59,Troms Lake,,,,
Explore: Temple Entrance,TRUE,68,Cave,Location,00 12 00 5a,Entamis Village,,,,
Explore: Earth Eaters,TRUE,68,Cave,Location,00 12 00 5b,"Orc Battlegrounds, Mangled Lake",,,,
Explore: Nymph Towers,TRUE,69,Cave,Location,00 12 00 5c,Guardian of the Forest,,,,
Explore: Recluse Nest,TRUE,70,Cave,Location,00 12 00 5d,"Path to Cinfras, Entrance to Cinfras, Chasm Chokepoint, Chasm Overlook",,,,
Explore: Shroom Sleeper Dugout,TRUE,71,Cave,Location,00 12 00 5e,Aldorei Valley,,,,
Explore: Bovine Bedrock,TRUE,71,Cave,Location,00 12 00 5f,Entrance to Cinfras,,,,
Explore: Fallen Salient,TRUE,71,Cave,Location,00 12 00 60,Fountain of Youth,,,,
Explore: Ledant Hill,TRUE,72,Cave,Location,00 12 00 61,Orc Battlegrounds,,,,
Explore: Mesquis Tower,TRUE,72,Cave,Location,00 12 00 62,Mesquis Tower,,,,
Explore: Weird Wilds,TRUE,72,Cave,Location,00 12 00 63,Light Peninsula,,,,
Explore: Kander Crypt,TRUE,72,Cave,Location,00 12 00 64,Mushroom Hill,,,,
Explore: The Heartwood,TRUE,72,Cave,Location,00 12 00 65,Entamis Village,,,,
Explore: Basalt Basin,TRUE,72,Cave,Location,00 12 00 66,Entamis Village,,,,
Explore: Flesh Mesh,TRUE,72,Cave,Location,00 12 00 67,Viscera Pits,,,,
Explore: Mystifying Stump,TRUE,72,Cave,Location,00 12 00 68,"Path to Talor, Talor Cemetery, Old Crossroads",,,,
Explore: Raiders' Rockhill,TRUE,73,Cave,Location,00 12 00 69,"Waterfall Cave, Big Mushroom Cave, Cinfras's Small Farm",,,,
Explore: Visceral Remant,TRUE,74,Cave,Location,00 12 00 6a,Twisted Ridge,,,,
Explore: Bandit Groundbreaking,TRUE,75,Cave,Location,00 12 00 6b,Mushroom Hill,,,,
Explore: Shock Shrine,TRUE,75,Cave,Location,00 12 00 6c,Aldorei Springs,,,,
Explore: Root Slingers' Rut,TRUE,75,Cave,Location,00 12 00 6d,Guild Hall,,,,
Explore: Weirding Ring,TRUE,75,Cave,Location,00 12 00 6e,"Cinfras Outskirts, Fungal Grove",,,,
Explore: Tree of Light,TRUE,79,Cave,Location,00 12 00 6f,Azure Frontier,Complete: The Realm of Light,,,
Explore: Burning Bog,TRUE,79,Cave,Location,00 12 00 70,Cinfras Outskirts,,,,
Explore: Gorgon Gorge,FALSE,80,Cave,Location,00 12 00 71,"Ranol's Farm, Cherry Blossom Grove",,,,
Explore: Troll Burrows,FALSE,80,Cave,Location,00 12 00 72,Thesead,,,,
Explore: Drone's Retreat,FALSE,80,Cave,Location,00 12 00 73,Colourful Mountaintop,,,,
Explore: Voltaic Crag,FALSE,81,Cave,Location,00 12 00 74,Thesead Underpass,,,,
Explore: Cave of the Seasons,FALSE,82,Cave,Location,00 12 00 75,"Field of Life, Otherworldly Monolith, Azure Frontier",Complete: The Realm of Light,,,
Explore: Cyclonic Spirit Trap,FALSE,83,Cave,Location,00 12 00 76,Displaced Housing,,,,
Explore: Seismic Bore Hole,FALSE,85,Cave,Location,00 12 00 77,Cliffside Passage South,,,,
Explore: Demolition Derby,FALSE,85,Cave,Location,00 12 00 78,"Elephelk Trail, Kandon Farm, Kandon-Beda, Protector's Pathway",,,,
Explore: Rocky Peril,FALSE,85,Cave,Location,00 12 00 79,"Harpy's Haunt North, Perilous Passage, Wayward Split",,,,
Explore: Blaze Springs,FALSE,85,Cave,Location,00 12 00 7a,"Thesead Suburbs, Ranol's Farm",,,,
Explore: Deserter's Camp,FALSE,85,Cave,Location,00 12 00 7b,"Canyon High Path, Path to the Dojo",,,,
Explore: Guardians Cove,FALSE,85,Cave,Location,00 12 00 7c,,,,,
Explore: Broodmother's Bestiary,FALSE,85,Cave,Location,00 12 00 7d,"Displaced Housing, Cherry Blossom Grove",,,,
Explore: Watery Waterfall,FALSE,85,Cave,Location,00 12 00 7e,"Canyon High Path, Path to the Dojo",,,,
Explore: Abyssal Shine,FALSE,87,Cave,Location,00 12 00 7f,"Entrance to Thesead, Thesead Underpass",,,,
Explore: Natural Sanctuary,FALSE,87,Cave,Location,00 12 00 80,"Troll Tower, Wayward Split, Parasitic Slime Mine, Turncoat Turnabout",,,,
Explore: Colossi Infection,FALSE,88,Cave,Location,00 12 00 81,"Fleris Cranny, Troll Tower",,,,
Explore: Cyclopes' Shrine,FALSE,88,Cave,Location,00 12 00 82,Timeworn Arch,,,,
